time,left_hip_angle,left_knee_spring_angle,left_toe_angle,right_hip_angle,right_knee_spring_angle,right_toe_angle,left_hip_qvel,left_knee_spring_qvel,left_toe_qvel,right_hip_qvel,right_knee_spring_qvel,right_toe_qvel
0.0,1.4128217598423363,0.9941174060106277,-0.6870212785899639,-2.390571378916502,8.135161874274127,-0.8254391229711473,0.002625254914164543,0.3350837528705597,-0.01749124377965927,-0.661857545375824,5.938265167060308e-05,-0.18029741942882538
0.0005,1.3809342251624912,0.9820896297693252,-0.6868064416572451,-2.3934672310948373,8.133616183457343,-0.8238764189183712,0.002634975593537092,0.33415189385414124,-0.015704920515418053,-0.6648593544960022,5.881663673790172e-05,-0.175822913646698
0.001,1.3933146569645032,0.9895127207040787,-0.6865748560056091,-2.372532495856285,8.146044990800329,-0.8218808681704104,0.0026170320343226194,0.33324185013771057,-0.014347834512591362,-0.6671848893165588,8.061915650614537e-06,-0.1708124727010727
0.0015,1.425976412370801,1.0139536678791046,-0.6870682734996081,-2.3663759253919125,8.150805820029746,-0.8198731432668864,0.002641770988702774,0.33243685960769653,-0.014674607664346695,-0.6691358685493469,7.495784302591346e-06,-0.1655394583940506
0.002,1.4227564934641124,1.0185820519924165,-0.6877704466693103,-2.4045114986598493,8.125853912124148,-0.8185760787688195,0.0027252323925495148,0.33163660764694214,-0.015171556733548641,-0.672225296497345,6.857469998067245e-05,-0.16127972304821014
0.0025,1.4363313940586522,1.028055813908577,-0.6887610025703907,-2.4137769728899,8.120948441945075,-0.8171995207667351,0.0027956778649240732,0.330892950296402,-0.016369380056858063,-0.6755317449569702,9.884808969218284e-05,-0.15718527138233185
0.003,1.4270594645990058,1.0279728204011918,-0.6896497437730431,-2.3787126377224923,8.146621169805076,-0.8151381078176201,0.002774355700239539,0.33006778359413147,-0.017107130959630013,-0.677912175655365,5.584229438682087e-05,-0.15201739966869354
0.0035,1.401340953190811,1.0152320086956024,-0.6899576745927334,-2.4079559333622456,8.117572614937853,-0.8139706867747009,0.002796394983306527,0.3291640877723694,-0.01674061268568039,-0.6812870502471924,2.7053460144088604e-05,-0.14813968539237976
0.004,1.4128151362761856,1.0214915722608566,-0.6903323987498879,-2.4175331629812717,8.110141712347104,-0.8128221047110855,0.002911759540438652,0.3283037841320038,-0.016822071745991707,-0.6848472952842712,6.876683619339019e-05,-0.14453990757465363
0.0045000000000000005,1.4259018996730446,1.0349557250738144,-0.6910493055358529,-2.407798504829407,8.12148073046701,-0.8113824410364032,0.002917500212788582,0.327454537153244,-0.01755187101662159,-0.6880155205726624,9.766092989593744e-05,-0.14039088785648346
0.005000000000000001,1.4371934946626426,1.0486136555671692,-0.6920977348461748,-2.4026847176253794,8.128073797792604,-0.8097459128126502,0.0029078833758831024,0.3266217112541199,-0.018952952697873116,-0.6909409761428833,9.436281106900424e-05,-0.13590355217456818
0.005500000000000001,1.4139812623383476,1.0375843733549117,-0.6926677763462067,-2.380958042293787,8.139925074209895,-0.8077997155487537,0.002890784526243806,0.32566842436790466,-0.019139409065246582,-0.6933788061141968,8.409210568061098e-05,-0.13095451891422272
0.006000000000000002,1.3967327882768585,1.0339136332273484,-0.6929105596616865,-2.402079376578331,8.119416978490335,-0.806517681479454,0.002903495216742158,0.3246549069881439,-0.018748560920357704,-0.6964964866638184,7.58735477575101e-05,-0.12689664959907532
0.006500000000000002,1.4214229883393272,1.0553778111934662,-0.6936852805316448,-2.4091742761433124,8.113950002095953,-0.8052217733114958,0.0029518965166062117,0.3237321376800537,-0.019818805158138275,-0.6996555924415588,7.408428064081818e-05,-0.12301283329725266
0.007000000000000003,1.3828405700391158,1.0231609433889388,-0.6933835277333855,-2.3744180530309675,8.13958353605326,-0.8032351587899029,0.0029298707377165556,0.3226214349269867,-0.0182685274630785,-0.7020730972290039,4.3567310967773665e-06,-0.11808507889509201
0.007500000000000003,1.4228975078789516,1.049507474899292,-0.6937529316172004,-2.4023330181837084,8.121691116103467,-0.8019104513339699,0.0030043048318475485,0.3216853141784668,-0.01885068230330944,-0.7050659656524658,2.3437234631273896e-05,-0.11381653696298599
0.008000000000000004,1.4490770825883375,1.0773219138383865,-0.6951598843559623,-2.42352692335844,8.105040782743163,-0.8008144640363752,0.003073348430916667,0.32084670662879944,-0.02121969871222973,-0.7084506154060364,9.832616342464462e-05,-0.11018744111061096
0.008500000000000004,1.4028084530262277,1.0501490831375122,-0.6954731330275535,-2.368981885164976,8.139109308027765,-0.7986923474818468,0.002988710766658187,0.31975364685058594,-0.02083192765712738,-0.710469126701355,4.587981311487965e-05,-0.10520195960998535
0.009000000000000005,1.4039470517309383,1.061334091424942,-0.6957888059318066,-2.3907046526670457,8.124715071121681,-0.7972587312571704,0.0029433893505483866,0.31866270303726196,-0.02093108743429184,-0.7131025195121765,3.205825851182453e-05,-0.10078304260969162
0.009500000000000005,1.4065146817360072,1.065942531824112,-0.6961708957329392,-2.3852131970226766,8.132961915805208,-0.7954464829526842,0.003000583965331316,0.31756678223609924,-0.021147416904568672,-0.7155875563621521,2.208202931797132e-05,-0.09597049653530121
0.010000000000000005,1.4123493894934653,1.064139461517334,-0.696470656991005,-2.3878755711019037,8.132834127566275,-0.7937194931320846,0.0030998438596725464,0.31650373339653015,-0.021395951509475708,-0.7181909680366516,2.8327149266260676e-05,-0.09113983809947968
0.010500000000000006,1.4000482420204208,1.0620810240507126,-0.696691595390439,-2.4228840403258802,8.099765178464441,-0.7928065082989633,0.00315051875077188,0.31541135907173157,-0.02129516378045082,-0.7218276262283325,4.657077806768939e-05,-0.08774542063474655
